Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
					Fortress Around Your Heart																		CRF
PRF 4th only					Frankenstein (featured in the Motion Picture ENCINO MAN)																		PRF
					Fred Jones Part 2						00s												PV
PRF 4th only			LEARN		Adia	Sarah McLachlan						Pop											PRF 4th (don't have)
Tuzzy Braddy/Tuz Piano 6/7/16					Free Fallin						90s												yes
			Y		Baby, I Love Your Way	Peter Frampton				1990		Classic Rock											CRF
			Y		Show Me The Way	Peter Frampton																	CRF
					Freeze Frame																		CRF
PRF 4th only					Freeze Frame																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Friday I'm In Love						80s												yes
05/14/16 Fleischman party	X		Y		You Can Call Me Al	Paul Simon																	
PRF 3rd only					Friends & Lovers (Both to Each Other)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Friends in Low Places						90s												yes
PRF 4th only					From A Distance																		PRF
					From Me To You						60s-70s												BFB
			Y		Maybe I'm Amazed	Paul McCartney																	CRF
PRF 4th only					Games People Play																		PRF
					Gee Whiz																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					General, the						90s												yes
			Y		Love Is A Battlefield	Pat Benatar																	CRF
					Georgy Girl (from GEORGY GIRL)																		PRF
PRF 4th only					Get A Job																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Ain't It Fun	Paramore					10s												yes
					Get Back						60s-70s												BFB
PRF 4th only					Get Down Tonight																		PRF
					Get It On Tonite																		RBF
			Y		Knock On Wood	Otis Redding																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Get Lucky						10s												yes
05/07/16 Irizarry wedding			Y		Peace	O.A.R										X	sib	sib	sib	INTRO NEEDED			LS
					Get Up (I Feel Like Being A Sex Machine)																		RBF
					Getting Better						60s-70s												BFB
05/07/16 Irizarry wedding			Y		Two hands up	O.A.R																	LS
PRF 3rd only					Gimme Some Lovin																		PRF
					Girl						60s-70s												BFB
05/14/16 Fleischman party	X		Y		Sweet Caroline	Neil Diamond							X										
			Y		This Will Be (An Everlasting Love)	Natalie Cole																	RBF
PRF 4th only					Give A Little Bit																		PRF
					Give It Up Or Turnit A Loose																		RBF
PRF 3rd only					Give Me Just A Little More Time																		PRF
					Give Me Love (Give Me Peace On Earth)																		CRF
			Y		Almost Paradise	Mike Reno & Ann Wilson				1984		Rock											PRF
					Give Me One Reason																		PRF
PRF 4th only					Give Me The Night																		
Tuzzy Braddy/Tuz Piano 6/7/16					Give Your Heart a Break						10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Glad You Came						10s												yes
					Glass Onion						60s-70s												BFB
					Gloria																		CRF
PRF 3rd only					Gloria																		PRF
					Gloria																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		All About That Bass	Megan Trainor					10s												yes
PRF 4th only					Glory Of Love (Theme from KARATE KID PART II)																		
					Go Away, Little Girl																		PRF
					Go Now																		CRF
Tuzzy Braddy/Tuz Piano 6/7/16					God Bless the Broken Road						00s			X	Etzel								yes
			Learn		God Bless the USA	Lee Greenwood				1992		Back pocket 											
					Godzilla																		CRF
PRF 3rd only					Goin' Out of My Head																		PRF
					Going To A Go-Go																		RBF
					Golden Slumbers						60s-70s												BFB
					Gone						00s												PV
Tuzzy Braddy/Tuz Piano 6/7/16					Good						90s												yes
					Good Day Sunshine						60s-70s												BFB
			Y		I'd Do Anything For Love (But I Won't Do That)	Meat Loaf																	PRF
					Good Luck Charm																		PRF
					Good Morning Good Morning						60s-70s												BFB
					Good Night						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Good Riddance (Time of Your Life)						90s												yes
PRF 4th only					Good Vibrations (featured in GOOD VIBRATIONS)																		PRF
					Goodbye Cruel World																		PRF
PRF 4th only					Goodbye To Love																		
			Y		My Guy	Mary Wells																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Goodbye Yellow Brick Road						70s												yes
			Y		Ain't No Mountain High Enough	Marvin Gaye					Motown		X										RBF
05/07/16 Irizarry wedding		B	Y		Let's get it on	Marvin Gaye						R&B											FB
			Y		What's Going On	Marvin Gaye																	RBF
					Got My Mind Set On You																		PRF
					Got To Be There																		RBF
			Y		Dancing In The Street	Martha & The Vandellas																	RBF
05/07/16 Irizarry wedding	X	A+	Y		Walking in Memphis	Mark Cohn						Classic Rock	X										LC
					Got To Get You Into My Life						60s-70s												BFB
					Got To Give It Up																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Got You Where I Want You						90s												yes
					Grazing In The Grass																		RBF
					Grazing In The Grass																		PRF
					Grease (from GREASE)																		PRF
			Y		Always Be My Baby	Mariah Carey					90s												RBF
					Green Green Grass Of Home																		PRF
					Green Onions																		RBF
PRF 4th only					Green Onions																		PRF
					Green-Eyed Lady																		CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Grenade						10s												yes
					Groovin'																		RBF
					Groovin'																		PRF
					Gypsys, Tramps And Thieves																		PRF
					Hair Of The Dog																		CRF
			Y		Fantasy	Mariah Carey																	RBF
					Hallelujah, I Love Her So																		RBF
PRF 3rd only					Hands to Heaven																		PRF
					Hanky Panky																		PRF
					Happiness Is A Warm Gun						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Happy						10s												yes
					Happy Days (Theme from the Paramount Television Series HAPPY DAYS)																		PRF
			Y		When You Believe (From The Prince Of Egypt)	Mariah Carey	Whitney Houston					Disney											RBF
					Happy, Happy Birthday Baby																		RBF
					Happy, Happy Birthday Baby																		PRF
					Hard Habit To Break																		PRF
PRF 3rd only					Hard Headed Woman																		PRF
			Y		Like A Virgin	Madonna																	PRF
					Hard To Say I'm Sorry																		PRF
PRF 3rd only			Y		Take a Bow	Madonna																	PRF
PRF 3rd only			Y		Free Bird	Lynyrd Skynyrd				1973		Classic Rock, Rock											PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Have You Ever Seen the Rain						60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Haven't Met You Yet						00s												yes
					He Don't Love You (Like I Love You)																		RBF
					He's A Rebel																		PRF
					He's Sure The Boy I Love																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Heard it Through the Grapevine						60-70												yes
					Heart And Soul																		CRF
					Heart And Soul																		PRF
PRF 3rd only			Y		Sweet Home Alabama	Lynyrd Skynyrd																	PRF
					Heartbreak Hotel																		RBF
			Y		What A Wonderful World	Louis Armstrong																	PRF
					Heartbreaker																		RBF
05/07/16 Irizarry wedding		C			Heat of the moment						80s	80s hits											FB
			Y		Long Tall Sally	Little Richard																	RBF
					Heat Of The Moment																		PRF
					Heatwave (Love Is Like A Heatwave)																		RBF
					Heatwave (Love Is Like A Heatwave)																		PRF
					Heaven																		CRF
					Heaven																		PRF
					Heaven Help Us All																		RBF
					Heaven Is A Place On Earth																		PRF
					Hello Mary Lou																		PRF
					Hello Old Friend																		CRF
			Y		Three Times A Lady	Lionel Richie																	RBF
					Hello, Goodbye	Beatles, the					60s-70s												BFB
					Hello, It's Me	Todd Rundgren																	CRF
PRF 4th only					Help Me Rhonda																		
			Y		It's My Party	Leslie Gore																	PRF
					Help! (from HELP!)						60s-70s												BFB
					Helter Skelter																		CRF
					Helter Skelter						60s-70s												BFB
					Her Majesty						60s-70s												BFB
					Here And Now																		RBF
					Here And Now																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Here Comes The Sun						60s												yes
					Here Comes The Sun						60s-70s												BFB
					Here, There And Everywhere						60s-70s												BFB
					Hero																		RBF
					Hero																		PRF
					Hey Bulldog						60s-70s												BFB
					Hey Hey Hey Hey						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Hey Ho						10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Hey Jealousy						90s												yes
			Y		Mission: Impossible Theme	Lalo Schifrin						Movie/TV Themes											PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Born This Way	Lady Gaga					10s												yes
					Hey Jude																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Hey Jude						60-70												yes
					Hey Jude						60s-70s												BFB
			Y		Lady Marmalade	LaBelle																	RBF
PRF 4th only					Hey Paula																		
Tuzzy Braddy/Tuz Piano 6/7/16					Hey Soul Sister						00s				Etzel								yes
					Hi-Heel Sneakers																		PRF
			Y		Rock And Roll All Nite	Kiss																	CRF
PRF 4th only					Higher Love																		
					Hiro's Song						00s												PV
					His Latest Flame																		PRF
		B			Hit Me With Your Best Shot						80s				Brillant								CRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Hot and Cold	Katy Perry				2008		Electronica, Pop											yes
					Hold Me Now (from THE WEDDING SINGER)																		PRF
					Hold Me Tight						60s-70s												BFB
			Y		Dust In The Wind	Kansas				1977		Prog rock											CRF
					Hold On I'm Comin'																		RBF
			Y		All My Life	K-Ci and JoJo					90s	R&B											RBF
PRF 3rd only			Y		Secret Agent Man	Johnny Rivers																	PRF
					Honey	Mariah Carey																	RBF
PRF 3rd only					Honey																		PRF
					Honey Don't	Beatles, the					60s-70s												BFB
					Honey Pie	Beatles, the					60s-70s												BFB
PRF 4th only					Honeycomb																		PRF
PRF 3rd only					Honky Cat																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Hook	Blues Traveler					90s												yes
					Hospital Song	Ben Folds Five					90s												BF Scores
			Y		You're The One That I Want (from Grease)	John Travolta & Olivia Newton John 	Grease																PRF
					Hot Legs	Rod Stewart																	CRF
			Y		Hurts So Good	John Mellencamp				1982		Classic rock, Rock											CRF
			Y		Jack And Diane	John Mellencamp							X										CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Hotel California	Eagles					60-70												yes
					Hound Dog (featured in the Motion Picture A FEW GOOD MEN)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					House of the Rising Sun	Animals, the					60-70												yes
					How Am I Supposed To Live Without You																		PRF
PRF 3rd only					How Can I Fall?																		PRF
					How Can You Mend A Broken Heart																		PRF
					How Deep Is Your Love (from the Motion Picture SATURDAY NIGHT FEVER)																		PRF
PRF 4th only					How Much I Feel																		PRF
			Y		Whatever Gets You Through The Night	John Lennon with The Plastic Ono Nuclear Band																	CRF
					How Sweet It Is (To Be Loved By You)																		PRF
PRF 4th only					How Will I Know																		
					How You Remind Me	Nickelback					00s				Brillant								TO LEARN
Tuzzy Braddy/Tuz Piano 6/7/16					Hungry Heart	Bruce Springsteen					80s												yes
			Y		Imagine	John Lennon with The Plastic Ono Band																	CRF
					Hurdy Gurdy Man	Donovan																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Hurt So Good	John Mellencamp					80s			X	Etzel								yes
					Hurting Each Other																		PRF
			Y		Instant Karma	John Lennon																	CRF
PRF 4th only					Hurts So Good																		
					Hush	Deep Purple																	CRF
					I Almost Lost My Mind																		PRF
					I Am The Walrus	Beatles, the					60s-70s												BFB
PRF 4th only					I Am Woman																		
					I Believe																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I Believe In A Thing Called Love	Darkness, the					00s												yes
					I Believe In You And Me (from the Touchstone Motion Picture THE PREACHER'S WIFE)	The Four Tops																	RBF
					I Call Your Name	Beatles, the					60s-70s												BFB
					I Can Love You Like That	All-4-One					90s			X	Etzel								RBF
PRF 3rd only					I Can Love You Like That						90s												PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		All Of Me	John Legend					10s	R&B											yes
PRF 4th only					I Can't Dance																		
					I Can't Get Next To You	The Temptations																	RBF
PRF 4th only					I Can't Go For That (No Can Do)																		
			Y		I Love Rock 'N Roll	Joan Jett & The Blackhearts																	CRF
					I Can't Help Myself (Sugar Pie, Honey Bunch)																		PRF
					I Can't Stand It	Eric Clapton																	CRF
					I Can't Stop Loving You	Ray Charles																	RBF
			Y		Hey Joe	Jimi Hendrix						Classic rock, World, Rock, Pop											CRF
					I Don't Dance	Lee Brice								X	Etzel (07/02/2016)								
					I Don't Have The Heart	James Ingram																	RBF
					I Don't Wanna Cry	Mariah Carey																	RBF
PRF 3rd only					I Don't Wanna Cry																		PRF
PRF 3rd only					I Don't Wanna Fight																		PRF
					I Don't Wanna Fight (from the Touchstone Motion Picture WHAT'S LOVE GOT TO DO WITH IT)	Tina Turner																	RBF
			Y		Bad, Bad Leroy Brown	Jim Croce				1973		Folk-rock	X										CRF
					I Don't Want To Spoil The Party	Beatles, the					60s-70s												BFB
					I Feel Fine	Beatles, the					60s-70s												BFB
			Y		Great Balls Of Fire	Jerry Lee Lewis				2008		Musicals											PRF
PRF 4th only					I Fought The Law																		PRF
			Y		Somebody To Love	Jefferson Airplane																	CRF
					I Get Lonely	Janet																	RBF
			Y		White Rabbit	Jefferson Airplane																	CRF
					I Got A Woman																		PRF
					I Got The Feelin'	James Brown																	RBF
			Y		Me And Bobby McGee	Janis Joplin																	CRF
PRF 4th only					I Got You (I Feel Good)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I Gotta Feelin'	Black Eyed Peas					10s												yes
					I Have Nothing	Whitney Houston																	RBF
					I Hear A Symphony	The Supremes																	RBF
					I Hear A Symphony																		PRF
			Y		How Sweet It Is (To Be Loved By You)	James Taylor				1975		Folk	X										RBF
PRF 4th only					I Honestly Love You (from THE BOY FROM OZ)																		
Tuzzy Braddy/Tuz Piano 6/7/16					I Hope You Dance	Lee Ann Womack					00s			X	Etzel								yes
			Y		I Got You (I Feel Good)	James Brown																	RBF
PRF 4th only					I Just Called To Say I Love You																		PRF
					I Just Want To Celebrate	Rare Earth																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					I Knew You Were Trouble	Taylor Swift					10s												yes
PRF 4th only					I Like It Like That																		
			Y		Higher And Higher	Jackie Wilson						Country, Pop											RBF
					I Love Rock 'N Roll																		PRF
PRF 4th only					I Love The Night Life																		
					I Me Mine	Beatles, the					60s-70s												BFB
					I Need You	Beatles, the					60s-70s												BFB
					I Need Your Love Tonight																		PRF
					I Saw Her Standing There	Beatles, the					60s-70s												BFB
																							
			Y		You Sexy Thing	Hot Chocolate																	RBF
PRF 4th only					I Can't Stop Loving You																		PRF 4th (don't have)
			Y		Hold My Hand	Hootie and the Blowfish				2015		Pop											PRF
					I Should Have Known Better	Beatles, the					60s-70s												BFB
PRF 4th only					I Still Believe																		
			Y		Only Wanna Be With You	Hootie and the Blowfish																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I Still Haven't Found What I'm Looking For 	U2					80s												yes
PRF 4th only			LEARN		I Swear	All 4 One																	PRF 4th (don't have)
					I Thank You	Sam & Dave																	RBF
05/14/16 Fleischman party			Y		You Make My Dreams Come True	Hall and Oates														Finish LS			
					I Wanna Be Your Man	Beatles, the					60s-70s												BFB
05/07/16 Irizarry wedding		B	Y		Just the Two Of Us	Grover Washington						R&B											LS
Tuzzy Braddy/Tuz Piano 6/7/16					I Wanna Dance With Somebody	Whitney Houston					80s												yes
PRF 4th only			Find		I Think We're Alone Now	Tiffany																	PRF 4th (don't have)
					I Want To Hold Your Hand	Beatles, the					60s-70s												BFB
					I Want To Tell You	Beatles, the					60s-70s												BFB
					I Want You (She's So Heavy)	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Blvd of Broken Dreams	Green Day					00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					I Want You Back	Jackson 5					60-70												yes
			Y		I Heard It Through The Grapevine	Gladys Knight & The Pips																	RBF
					I Want You, I Need You, I Love You																		PRF
					I Was Made To Love Her	Stevie Wonder																	RBF
PRF 4th only					I Was Made To Love Her																		PRF
					I Will	Beatles, the					60s-70s												BFB
PRF 4th only					I Will Remember You (Theme from THE BROTHERS McMULLEN)																		PRF
PRF 3rd only					I Will Survive																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I Will Survive	Gloria Gaynor					80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					I Will Wait	Mumford and Sons					10s												yes
					I Wish	Stevie Wonder																	RBF
PRF 4th only					I Wish																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I Wish	Stevie Wonder					70s												yes
PRF 4th only					I Won't Last A Day Without You																		
					I Write The Songs																		PRF
05/14/16 Fleischman party	X		Y		Hey Jealousy	Gin Blossoms				1989		Alternative/Indie, Rock, Pop											
05/14/16 Fleischman party	X		Y		Faith	George Michael							X										
					I'll Be Back	Beatles, the					60s-70s												BFB
PRF 3rd only					I'll Be Loving You (Forever)																		PRF
			Y		Wake Me Up Before You Go-Go	George Michael	Wham!																PRF
			Y		Got My Mind Set On You	George Harrison				1987		Classic rock											CRF
					I'll Be There																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I'll Be There For You 	Rembrandts, the					90s												yes
					I'll Be Your Shelter (In Time Of Storm)	Luther Ingram																	RBF
					I'll Come Running Back To You	Sam Cooke																	RBF
					I'll Cry Instead	Beatles, the					60s-70s												BFB
					I'll Follow The Sun	Beatles, the					60s-70s												BFB
					I'll Get You	Beatles, the					60s-70s												BFB
			Y		My Sweet Lord	George Harrison																	PRF
					I'll Make Love To You																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I'll Make Love To You 	Boyz II Men					90s												yes
PRF 4th only					I'll Never Love This Way Again																		PRF
					I'll Play The Blues For You	Albert King																	RBF
					I'll Take You There	The Staple Singers																	RBF
PRF 4th only					I'll Take You There																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					I'm A Believer	Monkees, the					60-70												yes
					I'm A Loser	Beatles, the					60s-70s												BFB
					I'm Down	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					I'm Gonna Be (500 Miles)	Proclaimers, the					80s												yes
					I'm Happy Just To Dance With You	Beatles, the					60s-70s												BFB
					I'm Henry VIII, I Am																		PRF
PRF 3rd only					I'm Just a Singer (In a Rock and Roll Band)																		PRF
					I'm Looking Through You	Beatles, the					60s-70s												BFB
					I'm Losing You (I Know)	The Temptations																	RBF
					I'm Only Sleeping	Beatles, the					60s-70s												BFB
					I'm So Excited	The Pointer Sisters																	RBF
					I'm So Tired	Beatles, the					60s-70s												BFB
PRF 3rd only					I'm Sorry																		PRF
					I'm Still In Love With You	Al Green																	RBF
PRF 4th only					I'm Still In Love With You																		
PRF 4th only					I'm Too Sexy																		
					I'm Your Baby Tonight	Whitney Houston																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					I'm Yours	Jason Mraz					00s												yes
					I've Been Loving You Too Long	Otis Redding																	RBF
					I've Got A Feeling	Beatles, the					60s-70s												BFB
					I've Just Seen A Face	Beatles, the					60s-70s												BFB
05/07/16 Irizarry wedding		B	Y		Some Nights	Fun					10s	Pop											LS
05/07/16 Irizarry wedding			Y		We are Young	Fun										X	doc	done (ARO)		Tuz polishing			LS
PRF 3rd only					I've Told Ev'ry Little Star																		PRF
			Y		My Way	Frank Sinatra																	RBF
05/14/16 Fleischman party	X		Y		New York, New York	Frank Sinatra							X										
					If																		PRF
PRF 4th only					If Ever You're In My Arms Again																		
					If I Fell (from A HARD DAY'S NIGHT)	Beatles, the					60s-70s												BFB
					If I Needed Someone	Beatles, the					60s-70s												BFB
			Y		Don't Stop	Fleetwood Mac				1977		Classic rock											CRF
					If I Were A Carpenter																		PRF
					If I Were Your Woman	Gladys Knight & The Pips																	RBF
					If Loving You Is Wrong I Don't Want To Be Right	Luther Ingram																	RBF
PRF 4th only					If Loving You Is Wrong I Don't Want To Be Right																		PRF
					If You Leave Me Now	Chicago																	CRF
PRF 4th only					If You Leave Me Now																		PRF
					If You Love Somebody Set Them Free	Sting																	CRF
					If You Love Somebody Set Them Free																		PRF
					If You Really Love Me	Stevie Wonder																	RBF
					If You're Ready (Come Go With Me)	The Staple Singers																	RBF
PRF 4th only					If You're Ready (Come Go With Me)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Ignition (Remix)	R Kelly					00s												yes
					Iko Iko	The Dixie Cups																	RBF
			Y		Dreams	Fleetwood Mac				1977		Classic rock											CRF
					Imagine																		PRF
			Y		Rhiannon	Fleetwood Mac																	CRF
PRF 4th only			Find		I'll Be	Edward McCain																	PRF 4th (don't have)
Tuzzy Braddy/Tuz Piano 6/7/16					In My Life	Beatles, the					60s												yes
					In My Life	Beatles, the					60s-70s												BFB
					In The Midnight Hour (featured in the Motion Picture THE COMMITMENTS)	Wilson Pickett																	RBF
PRF 4th only					In The Midnight Hour (featured in the Motion Picture THE COMMITMENTS)																		PRF
					In The Still Of The Nite (I'll Remember)	The Five Satins																	RBF
					In The Still Of The Nite (I'll Remember)																		PRF
PRF 4th only					In Too Deep																		PRF
					Inseparable	Natalie Cole																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Inside Out	Eve 6					90s												yes
PRF 3rd only			Y		Missing	Everything But the Girl																	PRF
					Invisible Touch	Genesis																	CRF
PRF 4th only					Invisible Touch																		
PRF 4th only					Iris (from the Motion Picture CITY OF ANGELS)																		
					Iron Man	Black Sabbath																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Ironic	Alanis Morisette					90s												yes
PRF 4th only					Is That All There Is																		PRF
					Island Girl	Elton John																	CRF
					Island Girl																		PRF
					Islands In The Stream																		PRF
			Y		Sweet Dreams (Are Made Of This)	Eurythmics																	CRF
					It Never Rains In Southern California																		PRF
					It Won't Be Long	Beatles, the					60s-70s												BFB
					It's A Man's Man's Man's World	James Brown																	RBF
			Y		Bell Bottom Blues	Eric Clapton				1970		Classic rock											CRF
					It's All In The Game																		PRF
					It's All Too Much	Beatles, the					60s-70s												BFB
					It's Gonna Work Out Fine	Ike & Tina Turner																	RBF
					It's Just A Matter Of Time																		PRF
			Y		Cocaine	Eric Clapton				1977		Classic rock											CRF
					It's Not Right But It's Okay	Whitney Houston																	RBF
					It's Now Or Never																		PRF
					It's Only Love	Bryan Adams																	CRF
					It's Only Love	Beatles, the					60s-70s												BFB
			Y		I Shot The Sheriff	Eric Clapton																	CRF
					It's So Hard To Say Goodbye To Yesterday	Boyz II Men																	RBF
			Y		Lay Down Sally	Eric Clapton																	CRF
					It's Still Rock And Roll To Me																		PRF
			Y		Tears In Heaven	Eric Clapton																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					It's the End of the World	REM					80s												yes
					It's The Same Old Song	The Four Tops																	RBF
PRF 4th only					It's Your Love																		
					It's Your Thing	The Isley Brothers																	RBF
			Y		Can't Help Falling In Love	Elvis Presley				1961		Rock											PRF
			Y		Heartbreak Hotel	Elvis Presley																	PRF
PRF 4th only					Jack And Diane																		PRF
					Jackson Cannery	Ben Folds Five					90s												BF Scores
					Jackson Cannery 	Ben Folds Five					90s												Piano transcription
PRF 4th only			Y		Jailhouse Rock	Elvis Presley																	PRF 4th (don't have)
			Y		Love Me Tender	Elvis Presley																	PRF
PRF 4th only					Jenny Take A Ride																		PRF
PRF 3rd only					Jessie's Girl																		PRF
					Jesus Is Just Alright	The Doobie Brothers																	CRF
					Jimmy Mack	Martha & The Vandellas																	RBF
					Jive Talkin' (from SATURDAY NIGHT FEVER)																		PRF
PRF 3rd only			Y		Bennie and the Jets	Elton John				1973		Glam rock, Rock, Pop											PRF
PRF 4th only					Joy To The World																		PRF
					Julia	Beatles, the					60s-70s												BFB
					Just Because	Anita Baker																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Just Dance	Lady Gaga					10s												yes
					Just My Imagination (Running Away With Me)	The Temptations																	RBF
					Just My Imagination (Running Away With Me)																		PRF
					Just Once	Quincy Jones featuring James Ingram																	RBF
PRF 3rd only			Y		Candle in the Wind	Elton John				1973		Rock, Pop											PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Just the Way You Are	Billy Joel					60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Just the Way You Are	Bruno Mars					10s												yes
PRF 3rd only			Y		Crocodile Rock	Elton John				1973		Pop											PRF
																							
PRF 3rd only			Y		Daniel	Elton John				1973		Pop											PRF
																							
					Kate	Ben Folds Five					90s												BF Scores
					Kate  	Ben Folds Five					90s												Piano transcription
					Keep On Dancing																		PRF
PRF 3rd only			Y		Goodbye Yellow Brick Road	Elton John				1973		Rock, Pop											PRF
			Y		Don't Let The Sun Go Down On Me	Elton John																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Killer Queen	Queen					70s												yes
			Y		Can You Feel The Love Tonight	Elton John				1994		Disney											PRF
05/14/16 Fleischman party			Y		Levon	Elton John																X	PV
					King Of Pain																		PRF
					King Of The Road																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Kiss	Prince					80s												yes
					Kiss And Say Goodbye	The Manhattans																	RBF
					Kiss You All Over	Exile																	CRF
					Kiss You All Over																		PRF
PRF 3rd only					Kissing a Fool																		PRF
PRF 3rd only			Y		Rocket Man	Elton John																	PRF
					Knock Three Times																		PRF
			Y		The Bitch Is Back	Elton John																	CRF
05/14/16 Fleischman party	X		Y		Tiny Dancer	Elton John							X										
PRF 4th only					Lady In Red																		
PRF 3rd only			Y		Your Song	Elton John																	PRF
					Lady Madonna	Beatles, the					60s-70s												BFB
			Y		Evil Woman	Electric Light Orchestra				1975		Rock											CRF
					Land Of A Thousand Dances	Wilson Pickett																	RBF
PRF 4th only					Land Of A Thousand Dances																		PRF
					Land Of Confusion	Genesis																	CRF
05/14/16 Fleischman party	X				Landed	Ben Folds																	
					Landed	Ben Folds					00s												Piano transcription
					Last Child	Aerosmith																	CRF
PRF 4th only					Last Date																		PRF
					Last Kiss																		PRF
					Last Night	Az Yet																	RBF
			Y		Free Ride	Edgar Winter Group				2004		Rock											CRF
					Last Train To Clarksville																		PRF
					Laughter In The Rain																		PRF
			Y		September	Earth, Wind and Fire							X										RBF
PRF 3rd only					Lay Down (Candles in the Rain)																		PRF
			Y		Let's Groove	Earth, Wind & Fire																	RBF
					Lay Down Sally																		PRF
05/07/16 Irizarry wedding	X	A	Y		Hotel California	Eagles					70s	Classic Rock	X										LC
					Layla																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Layla	Eric Clapton					70s												yes
PRF 4th only					Lead Me On																		PRF
					Leader Of The Pack																		PRF
					Leather And Lace	Stevie Nicks with Don Henley																	CRF
			Y		Mellow Yellow	Donovan																	CRF
			Y		Hot Stuff	Donna Summer																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Let Her Cry	Hootie and the Blowfish					90s												yes
					Let It Be (featured in the Broadway Musical LET IT BE)	Beatles, the					60s-70s												BFB
					Let It Rain	Eric Clapton																	CRF
					Let It Ride	Bachman-Turner Overdrive																	CRF
					Let Me In	The Sensations																	RBF
					Let Me In																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Boys of Summer	Don Henley=					80s												yes
					Let's Get It On	Marvin Gaye																	RBF
PRF 4th only					Let's Get Together (Get Together)																		PRF
05/14/16 Fleischman party	X		Y		I Say A Little Prayer For You	Dionne Warwick																	
PRF 4th only					Let's Hang On (featured in JERSEY BOYS)																		
					Let's Hear It For The Boy (from the Paramount Motion Picture FOOTLOOSE)	Deniece Williams																	RBF
			Y		What The World Needs Now Is Love	Dionne Warwick																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Let's Stay Together	Al Green					70s												yes
05/14/16 Fleischman party	X		Y		Come On Eileen	Dexy's Midnight Runners				1982		Alternative/Indie, Pop											
					Lido Shuffle	Boz Scaggs																	CRF
					Light In Your Eyes	Blessid Union of Souls																	RBF
			Y		Bills, Bills, Bills	Destiny’s Child				1999			X										RBF
PRF 4th only					Limbo Rock																		PRF
					Little Bit O' Soul	The Music Explosion																	CRF
					Little Child	Beatles, the					60s-70s												BFB
PRF 4th only					Little Deuce Coupe																		
					Little Egypt	The Coasters																	RBF
